App ID,Project Type,Org Name,Project Title,Project Summary,Initiative,Award Amount (Preliminary),Organization Type,Service Area,Notification Date
BP1-IA-001,Implementation,AK Child & Family,Modernizing Behavioral Health Infrastructure to Strengthen Alaska’s Workforce and System of Care,"AK Child & Family proposes implementing integrated technology solutions that strengthen behavioral health documentation, care coordination, workforce management, and communication. The project addresses fragmented systems, administrative burden, and workforce capacity challenges that affect service coordination for children, youth, and families served across Alaska, including those from rural and remote communities receiving care through AK Child & Family programs.",Spark Technology and Innovation,248622,"Behavioral health/substance use disorder treatment;Clinic;Home-and-community-based services provider;Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-28 00:00:00
BP1-IA-027,Implementation,Alaska Literacy Program Inc,Health Education and Support Services Program including a Pre-apprenticeship Healthcare Training Academy,"Alaska Literacy Program proposes to expand its Health Education and Supportive Services program through pre-apprenticeship healthcare training and community health education to address critical healthcare workforce shortages and low health literacy across Alaska. The project will create structured career pathways into entry-level healthcare roles through training and workplace readiness certifications, and train multilingual community members to help adults and families navigate health systems; serving rural, remote, and underserved Alaskans facing barriers to education and care.",Strengthen Workforce,226546.03,"Education organization (Not public university in Alaska);Non-Profit, Social Service, or Community Based Organization",Statewide,2026-08-28 00:00:00
BP1-IA-034,Implementation,Alaska Native Tribal Health Consortium,"Capacity and Bed Management to Improve Access to Care, Patient Flow, and Care Coordination","Alaska Native Tribal Health Consortium (ANTHC) proposes a health system-wide bed capacity management improvement initiative that integrates operational process redesign and staff training enabled by the Cerner Bed Capacity Management Module to improve patient flow, resource utilization, and care coordination, addressing capacity constraints and delays that affect rural and underserved populations traveling from remote Alaska communities to access specialized healthcare services and higher levels of care unavailable locally.",Spark Technology and Innovation,1603406,Behavioral health/substance use disorder treatment;Clinic;Hospital (all types);Maternal health;Pharmacy;Specialist,Statewide,2026-08-28 00:00:00
BP1-IA-074,Implementation,Bristol Bay Native Association,Bristol Bay Prenatal Outreach & Perinatal Support Project,"Bristol Bay Native Association proposes building a coordinated, culturally grounded maternal health support system that provides outreach, care coordination, and referral support, addressing gaps in prenatal, postpartum, substance use disorder (SUD), and family support services for Alaska Native families across the Bristol Bay region, including both rural communities and Bristol Bay residents living in Anchorage and the Matanuska-Susitna Valley.",Healthy Beginnings,292246.28,Behavioral health/substance use disorder treatment;Home-and-community-based services provider;Maternal health,Bristol Bay Borough;Dillingham Census Area;Kodiak Island Borough;Lake and Peninsula Borough,2026-08-28 00:00:00
BP1-IA-075,Implementation,Bristol Bay Native Association,Revitalizing Marrulut Eniit Assisted Living (Grandma’s House) for Aging in Place in Bristol Bay,"The Bristol Bay Native Association proposes to restore and reopen the Marrulut Eniit Assisted Living Center in Dillingham, Alaska, to address the lack of local assisted living, health care and long-term support services for Elders in the Bristol Bay region.",Health Care Access,413001.91,"Non-Profit, Social Service, or Community Based Organization",Bristol Bay Borough;Dillingham Census Area;Kodiak Island Borough;Lake and Peninsula Borough,2026-08-28 00:00:00
BP1-IA-083,Implementation,Central Peninsula General Hospital,Rural Healthcare Access Expansion Through Technology-Enabled Care,"Central Peninsula Hospital proposes investments in digital health infrastructure, including clinical documentation improvement, telehealth expansion, and cybersecurity enhancements. Serving a geographically dispersed population across the Kenai Peninsula, CPH faces workforce shortages, increasing patient complexity, documentation burdens, and limited access to specialty care. This project will reduce administrative workload, improve care coordination and regulatory compliance, strengthen reimbursement and value-based care participation, and expand access to high-quality local health services.",Spark Technology and Innovation,1950030,Hospital (all types),Kenai Peninsula Borough,2026-08-28 00:00:00
BP1-IA-108,Implementation,Compass Therapy ,"Alaska Speech, Swallow & Cognitive Access Initiative","Compass Therapy LLC proposes to expand access to specialized speech, swallowing, and cognitive-communication services through workforce development, caregiver training, telehealth infrastructure, and technology lending. The project addresses shortages of specialized rehabilitation providers and barriers to specialty care for older adults and individuals with neurological conditions across Alaska, particularly in rural and underserved communities.",Health Care Access,60047,Clinic;Home-and-community-based services provider;Specialist,Statewide,2026-08-28 00:00:00
BP1-IA-132,Implementation,ECHO Diabetes Action Network,Alaska Rural Diabetes Access and Care Transformation Initiative,"ECHO Diabetes Action Network (EDAN) proposes to establish a statewide rural diabetes network that expands access to diabetes specialty expertise and strengthens local capacity to improve prevention and management of diabetes and its related complications and comorbidities—including obesity, chronic kidney and cardiovascular diseases, and behavioral health conditions—through rural healthcare workforce development, specialty consultation, referral coordination, and virtual endocrinology services for rural, frontier, and Tribal communities across Alaska.",Health Care Access,987787,"Behavioral health/substance use disorder treatment;Education organization (Not public university in Alaska);Non-Profit, Social Service, or Community Based Organization;Organizations providing health technology solutions;Other health care provider;Specialist",Statewide,2026-08-28 00:00:00
BP1-IA-145,Implementation,Galena City School District,Grow Our Own: High School CNA Certification Pathway for Rural Alaska,"Galena City School District proposes to establish a high school training pathway that prepares rural students to earn an Alaska certified nursing assistant (CNA) credential before they graduate. The project responds to a shortage of trained health care workers in Galena, the Yukon-Koyukuk region, and the rural and remote communities served by the district's statewide residential school, where local elder care, home health, and clinics struggle to recruit and keep staff.",Strengthen Workforce,90665,Education organization (Not public university in Alaska),Yukon-Koyukuk Census Area,2026-08-28 00:00:00
BP1-IA-155,Implementation,Hope Community Resources Inc,Complex Care Children’s Home,"Hope Community Resources, Inc. proposes to establish a licensed Complex Care Children’s Home in Anchorage that provides specialized residential medical care for Alaskan children with complex health conditions and developmental disabilities, addressing the lack of in-state care options for children who are currently hospitalized for extended periods or sent out of state.",Health Care Access,1002299.65,"Behavioral health/substance use disorder treatment;Home-and-community-based services provider;Non-Profit, Social Service, or Community Based Organization",Anchorage (Municipality);Kenai Peninsula Borough;Kodiak Island Borough;Matanuska-Susitna Borough;North Slope Borough,2026-08-28 00:00:00
